joint_number,WT [in],dist_to_us_weld,dist_to_ds_weld,distance_along_line,feature_type,ID/OD,depth_percent,"Metal Loss Depth 
[in]","Metal Loss Depth + Tolerance
[%]",Dimension Classification,"Metal Loss Depth Tolerance [%] 
(includes seamless and HAZ and modified specs)","Dent Depth
 [%]","Dent Depth
 [in]","Is any part of the dent affecting the top of the pipe? 
[Y/N]",Length [in],Comments,Anomalies per Joint,"Was anomaly sizing reviewed by analyst? 
[Y/N]","Was anomaly sizing/dimensions manually changed? 
[Y/N]","Magnetization Level 
[kA/m] for MFL survey 
or 
Actual WT [in] for UT Survey",Elevation [ft],"Seam Position
[hh:mm]","Distance To Seam Weld 
[in]",Tool,Evaluation Pressure [PSI],SMYS [PSI],Pipe Type,"Pipe Diameter (O.D.) 
[in.]",Pdesign [PSI],"Mod B31G Psafe 
[PSI]",Mod B31G Pburst [PSI],"Mod B31G Psafe Pressure with Tolerance
[PSI]","Mod B31G Pburst Pressure with Tolerance
[PSI]",Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,Length Tolerance [in],Width Tolerance [in],run_year,row_index,distance_raw_m,dist_to_us_weld_m,clock_position_deg,length_mm,width_mm,distance_corrected_m
90,0.344,1.65,29.977,146.46,Metal Loss,External,20.0,0.069,35.0,GENE,20.0,,,,1.2,EXT ML,3,N,N,5.97,205.985,01:12,7.749,CMFL,1025,65000,E.R. WELD,24,1341.6,1531.2,2126.7,1514.5,2103.5,1527.6,2121.6,0.669,1.142,1.0,1.2,2022,34,44.64100800000001,0.50292,359.0,9639.909599999999,50.8,94.97116037891675
90,0.344,30.574,1.053,175.384,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,5.7,EXT ML,3,N,N,5.97,194.421,01:12,31.835,CMFL,1025,65000,E.R. WELD,24,1341.6,1451.2,2015.6,1337.6,1857.7,1432.6,1989.7,0.706,1.081,1.0,1.2,2022,35,53.4570432,9.318955200000001,243.5,9639.909599999999,73.66,106.16577174363675
120,0.5,,,263.232,Bend,,,,,,,,,,,BEND-HOT PULLED - 6.3D - 37° LEFT,1,,,4.14,159.254,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,2022,39,80.23311360000001,,,4109.9232,,116.02507396499556
120,0.5,8.579,4.905,265.167,Metal Loss,External,23.0,0.115,38.0,GENE,20.0,,,,2.1,EXT ML,1,N,N,4.14,158.751,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,2051.2,2848.8,2006.8,2787.3,2040.3,2833.7,0.5,1.14,1.0,1.2,2022,40,80.8229016,2.6148792000000003,1.5,4109.9232,86.36,116.35793414595075
130,0.344,,,271.224,Attachment,,,,,,,,,,,ATTACHMENT,0,,,5.97,157.179,01:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,42,82.6690752,,180.0,12233.148,,117.40589096359784
150,0.5,,,355.335,Bend,,,,,,,,,,,BEND-HOT PULLED - 5.7D - 26° RIGHT,0,,,4.14,155.928,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,2022,45,108.306108,,,3162.9096000000004,,129.07421554900262
170,0.5,,,381.68,Bend,,,,,,,,,,,BEND-HOT PULLED - 6.0D - 18° UNDER,0,,,4.14,157.496,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,2022,48,116.33606400000001,,,2503.9320000000002,,134.84807771539863
200,0.344,10.115,1.972,429.213,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,2.3,EXT ML,3,N,N,5.97,172.204,UNKN,,CMFL,1025,65000,E.R. WELD,24,1341.6,1514.2,2103.0,1470.8,2042.8,1507.4,2093.6,0.677,1.129,1.0,1.2,2022,55,130.82412240000002,3.0830520000000003,84.5,3684.1176,73.66,170.56658060234992
215,0.344,0.315,7.188,440.804,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,15.0,EXT ML,1,N,N,5.97,175.355,08:36,14.451,CMFL,1025,65000,E.R. WELD,24,1341.6,1396.0,1938.9,1233.0,1712.6,1399.6,1943.9,0.734,1.04,1.0,1.2,2022,59,134.3570592,0.096012,190.5,2286.9144,223.52,185.1441375161935
230,0.344,0.161,40.039,488.245,Metal Loss,External,14.0,0.048,29.0,GENE,20.0,,,,3.3,EXT ML,4,N,N,5.97,186.747,08:28,18.012,CMFL,1025,65000,E.R. WELD,24,1341.6,1496.3,2078.2,1425.0,1979.2,1486.1,2064.1,0.685,1.114,1.0,1.2,2022,62,148.81707600000001,0.04907280000000001,167.5,12252.960000000001,38.099999999999994,197.15220766505104
230,0.344,29.091,11.109,517.175,Seam Weld Manufacturing Anomaly,,,,,,,,,,3.5,SWA,4,N,N,5.97,189.334,08:28,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,63,157.63494,8.866936800000001,255.5,12252.960000000001,,199.607424
230,0.344,35.515,4.685,523.599,Seam Weld Manufacturing Anomaly,,,,,,,,,,4.4,*SWA,4,Y,Y,5.97,189.832,08:28,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,64,159.5929752,10.824972,257.0,12252.960000000001,,204.31658400000006
230,0.344,38.842,1.362,526.923,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,2.6,EXT ML,4,N,N,5.97,190.09,08:28,34.558,CMFL,1025,65000,E.R. WELD,24,1341.6,1500.9,2084.6,1447.2,2010.0,1491.3,2071.2,0.683,1.119,1.0,1.2,2022,65,160.6061304,11.8390416,88.5,12252.960000000001,43.18,205.9730981583778
240,0.344,0.184,40.128,528.468,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,14.9,EXT ML,10,N,N,5.97,190.21,03:20,27.855,CMFL,1025,65000,E.R. WELD,24,1341.6,1308.5,1817.3,1142.0,1586.1,1339.0,1859.7,0.783,0.977,1.0,1.2,2022,67,161.0770464,0.0560832,211.0,12287.0976,497.84000000000003,206.66377566977573
240,0.344,0.84,39.475,529.121,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,14.0,EXT ML,10,N,N,5.97,190.261,03:20,34.976,CMFL,1025,65000,E.R. WELD,24,1341.6,1437.6,1996.6,1281.7,1780.2,1433.4,1990.9,0.713,1.073,1.0,1.2,2022,68,161.2760808,0.256032,258.5,12287.0976,213.35999999999999,206.70786619349076
240,0.344,1.007,39.304,529.291,Metal Loss,External,18.0,0.062,33.0,GENE,20.0,,,,2.5,EXT ML,10,N,N,5.97,190.274,03:20,5.655,CMFL,1025,65000,E.R. WELD,24,1341.6,1502.1,2086.2,1449.7,2013.4,1492.6,2073.0,0.682,1.119,1.0,1.2,2022,69,161.32789680000002,0.3069336,126.5,12287.0976,50.8,206.71934458404445
240,0.344,5.827,34.485,534.111,Metal Loss,External,27.0,0.093,42.0,GENE,20.0,,,,1.5,EXT ML,10,N,N,5.97,190.657,03:20,35.814,CMFL,1025,65000,E.R. WELD,24,1341.6,1514.6,2103.6,1485.8,2063.6,1506.8,2092.8,0.677,1.128,1.0,1.2,2022,70,162.7970328,1.7760696,271.0,12287.0976,86.36,207.04479071621353
240,0.344,6.257,34.058,534.537,Metal Loss,External,12.0,0.041,27.0,GENE,20.0,,,,4.1,EXT ML,10,N,N,5.97,190.691,03:20,35.186,CMFL,1025,65000,E.R. WELD,24,1341.6,1490.4,2070.0,1407.6,1955.0,1479.4,2054.7,0.688,1.112,1.0,1.2,2022,71,162.9268776,1.9071336,268.0,12287.0976,45.72,207.07355421254215
240,0.344,6.781,33.53,535.066,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,2.7,EXT ML,10,N,N,5.97,190.733,03:20,34.558,CMFL,1025,65000,E.R. WELD,24,1341.6,1505.7,2091.2,1449.3,2013.0,1497.2,2079.4,0.681,1.121,1.0,1.2,2022,72,163.08811680000002,2.0668488,265.0,12287.0976,35.559999999999995,207.10927226314743
240,0.344,7.323,32.992,535.604,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,1.6,EXT ML,10,N,N,5.97,190.776,03:20,34.139,CMFL,1025,65000,E.R. WELD,24,1341.6,1527.3,2121.2,1501.7,2085.6,1523.0,2115.2,0.671,1.138,1.0,1.2,2022,73,163.25209920000003,2.2320504000000003,263.0,12287.0976,33.019999999999996,207.14559799325264
240,0.344,7.7,32.612,535.984,Metal Loss,External,15.0,0.052,30.0,GENE,20.0,,,,1.9,EXT ML,10,N,N,5.97,190.807,03:20,34.139,CMFL,1025,65000,E.R. WELD,24,1341.6,1523.0,2115.3,1488.5,2067.3,1517.9,2108.2,0.673,1.134,1.0,1.2,2022,74,163.3679232,2.34696,263.0,12287.0976,58.419999999999995,207.1712555721373
240,0.344,38.967,1.348,567.247,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,2.5,EXT ML,10,N,N,5.97,193.312,03:20,7.959,CMFL,1025,65000,E.R. WELD,24,1341.6,1513.7,2102.3,1466.4,2036.7,1506.9,2092.9,0.677,1.129,1.0,1.2,2022,75,172.8968856,11.8771416,138.0,12287.0976,71.11999999999999,209.28213159495928
240,0.344,39.459,0.853,567.743,Metal Loss,External,16.0,0.055,31.0,GENE,20.0,,,,2.5,EXT ML,10,N,N,5.97,193.351,03:20,7.959,CMFL,1025,65000,E.R. WELD,24,1341.6,1506.0,2091.6,1457.3,2024.0,1497.4,2079.7,0.681,1.123,1.0,1.2,2022,76,173.0480664,12.0271032,137.5,12287.0976,60.959999999999994,209.31562148739826
250,0.344,2.428,37.707,571.024,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,2.0,EXT ML,14,N,N,5.97,193.614,02:20,22.829,CMFL,1025,65000,E.R. WELD,24,1341.6,1525.7,2119.0,1491.7,2071.8,1521.2,2112.8,0.672,1.137,1.0,1.2,2022,78,174.0481152,0.7400544,179.0,12233.148,48.26,209.5644345211541
250,0.344,3.894,36.243,572.487,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,2.8,EXT ML,14,N,N,5.97,193.725,02:20,23.248,CMFL,1025,65000,E.R. WELD,24,1341.6,1515.8,2105.3,1463.7,2032.9,1509.6,2096.6,0.676,1.13,1.0,1.2,2022,79,174.49403759999998,1.1868912,180.5,12233.148,58.419999999999995,209.67965391837342
250,0.344,4.905,35.23,573.501,Metal Loss,External,16.0,0.055,31.0,CIGR,25.0,,,,1.1,EXT ML,14,N,N,5.97,193.802,02:20,22.829,CMFL,1025,65000,E.R. WELD,24,1341.6,1538.2,2136.5,1526.0,2119.4,1536.2,2133.6,0.666,1.147,1.0,1.2,2022,80,174.8031048,1.4950440000000003,179.0,12233.148,68.58,209.75951206518164
250,0.344,7.917,32.218,576.512,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,4.6,EXT ML,14,N,N,5.97,194.029,02:20,23.667,CMFL,1025,65000,E.R. WELD,24,1341.6,1481.1,2057.0,1385.5,1924.3,1472.1,2044.5,0.692,1.102,1.0,1.2,2022,81,175.7208576,2.4131016,190.5,12233.148,132.07999999999998,209.996645082972
250,0.344,10.335,29.803,578.927,Metal Loss,External,18.0,0.062,33.0,GENE,20.0,,,,1.2,EXT ML,14,N,N,5.97,194.211,02:20,23.876,CMFL,1025,65000,E.R. WELD,24,1341.6,1533.2,2129.5,1517.1,2107.1,1530.1,2125.1,0.669,1.143,1.0,1.2,2022,82,176.4569496,3.1501080000000004,184.0,12233.148,88.89999999999999,210.18683978173118
250,0.344,10.84,29.295,579.436,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,4.5,EXT ML,14,N,N,5.97,194.25,02:20,24.295,CMFL,1025,65000,E.R. WELD,24,1341.6,1478.5,2053.5,1386.8,1926.1,1491.0,2070.9,0.693,1.103,1.0,1.2,2022,83,176.61209280000003,3.3040320000000003,184.0,12233.148,48.26,210.22692636627298
250,0.344,14.222,25.912,582.818,Metal Loss,External,12.0,0.041,27.0,PITT,20.0,,,,1.6,EXT ML,14,N,N,5.97,194.505,02:20,24.295,CMFL,1025,65000,E.R. WELD,24,1341.6,1533.2,2129.5,1510.8,2098.4,1530.3,2125.4,0.669,1.143,0.6,1.2,2022,84,177.6429264,4.3348656,186.0,12233.148,25.4,210.49327770010464
250,0.344,15.778,24.357,584.373,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,2.6,EXT ML,14,N,N,5.97,194.622,02:20,22.201,CMFL,1025,65000,E.R. WELD,24,1341.6,1517.4,2107.5,1470.2,2042.0,1511.5,2099.2,0.676,1.132,1.0,1.2,2022,85,178.11689040000002,4.8091344000000005,175.5,12233.148,91.44,210.61574260965764
250,0.344,20.535,19.603,589.127,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,9.3,EXT ML,14,N,N,5.97,194.982,02:20,22.41,CMFL,1025,65000,E.R. WELD,24,1341.6,1454.0,2019.5,1313.8,1824.7,1437.7,1996.8,0.705,1.084,1.0,1.2,2022,86,179.5659096,6.259068,184.0,12233.148,121.91999999999999,210.99014658394378
250,0.344,24.042,16.096,592.635,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,4.1,EXT ML,14,N,N,5.97,195.246,02:20,24.295,CMFL,1025,65000,E.R. WELD,24,1341.6,1484.3,2061.5,1400.0,1944.5,1482.2,2058.6,0.691,1.107,1.0,1.2,2022,87,180.63514800000002,7.328001600000001,182.0,12233.148,96.52,211.26642111944983
250,0.344,25.846,14.288,594.442,Metal Loss,External,11.0,0.038,26.0,PITT,20.0,,,,1.6,EXT ML,14,N,N,5.97,195.383,02:20,23.248,CMFL,1025,65000,E.R. WELD,24,1341.6,1533.8,2130.3,1511.0,2098.6,1531.0,2126.5,0.668,1.144,0.6,1.2,2022,88,181.1859216,7.8778608000000006,181.0,12233.148,25.4,211.40873243235163
250,0.344,26.837,13.297,595.433,Metal Loss,External,13.0,0.044,28.0,PITT,20.0,,,,1.5,EXT ML,14,N,N,5.97,195.457,02:20,22.619,CMFL,1025,65000,E.R. WELD,24,1341.6,1534.7,2131.5,1514.0,2102.7,1532.0,2127.8,0.668,1.144,0.6,1.2,2022,89,181.4879784,8.1799176,178.0,12233.148,25.4,211.4867792010764
250,0.344,39.127,1.01,607.72,Metal Loss,External,11.0,0.038,26.0,GENE,20.0,,,,3.1,EXT ML,14,N,N,5.97,196.385,02:20,29.531,CMFL,1025,65000,E.R. WELD,24,1341.6,1509.7,2096.8,1449.4,2013.0,1502.3,2086.6,0.679,1.126,1.0,1.2,2022,90,185.233056,11.9259096,289.0,12233.148,40.64,212.4544488754672
250,0.344,39.839,0.295,608.435,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,2.5,EXT ML,14,N,N,5.97,196.439,02:20,32.254,CMFL,1025,65000,E.R. WELD,24,1341.6,1501.7,2085.7,1451.4,2015.8,1492.1,2072.4,0.683,1.12,1.0,1.2,2022,91,185.450988,12.1429272,275.5,12233.148,101.6,212.51075910719092
260,0.344,0.328,31.014,609.058,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,3.8,EXT ML,7,N,N,5.97,196.486,02:00,23.248,CMFL,1025,65000,E.R. WELD,24,1341.6,1490.6,2070.2,1411.5,1960.4,1479.4,2054.8,0.688,1.111,1.0,1.2,2022,93,185.64087840000002,0.0999744,309.0,9553.0416,33.019999999999996,212.66151980652162
260,0.344,0.44,30.902,609.17,Metal Loss,External,13.0,0.044,28.0,GENE,20.0,,,,10.4,EXT ML,7,N,N,5.97,196.495,02:00,14.451,CMFL,1025,65000,E.R. WELD,24,1341.6,1432.6,1989.7,1283.2,1782.2,1462.2,2030.8,0.716,1.066,1.0,1.2,2022,94,185.675016,0.134112,131.0,9553.0416,101.6,212.70506588679726
260,0.344,0.633,30.709,609.364,Metal Loss,External,18.0,0.062,33.0,GENE,20.0,,,,4.1,EXT ML,7,N,N,5.97,196.509,02:00,36.652,CMFL,1025,65000,E.R. WELD,24,1341.6,1460.0,2027.8,1369.3,1901.7,1460.4,2028.3,0.702,1.088,1.0,1.2,2022,95,185.73414720000002,0.1929384,249.5,9553.0416,116.83999999999999,212.78049391870334
260,0.344,1.329,30.013,610.059,Metal Loss,External,21.0,0.072,36.0,GENE,20.0,,,,4.5,EXT ML,7,N,N,5.97,196.562,02:00,5.864,CMFL,1025,65000,E.R. WELD,24,1341.6,1429.9,1985.9,1329.8,1846.9,1418.1,1969.6,0.717,1.068,1.0,1.2,2022,96,185.9459832,0.40507920000000003,91.5,9553.0416,96.52,213.05071289898538
260,0.344,,,638.602,Start Repair Marker,,,,,,,,,,,REPAIR MARKER 2021 DIG 1 RECOAT START,7,,,5.97,198.502,02:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,97,194.6458896,,,9553.0416,,224.14835369638183
260,0.344,30.354,0.988,639.085,Metal Loss,External,33.0,0.113,48.0,GENE,20.0,,,,2.4,EXT ML,7,N,N,5.97,198.535,02:00,23.248,CMFL,1025,65000,E.R. WELD,24,1341.6,1457.3,2024.0,1392.9,1934.6,1435.2,1993.4,0.703,1.085,1.0,1.2,2022,98,194.79310800000002,9.2518992,170.5,9553.0416,38.099999999999994,224.33614616757066
260,0.344,30.364,0.978,639.094,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,2.6,EXT ML,7,N,N,5.97,198.535,02:00,6.493,CMFL,1025,65000,E.R. WELD,24,1341.6,1498.9,2081.8,1445.1,2007.1,1488.8,2067.8,0.684,1.118,1.0,1.2,2022,99,194.79585120000002,9.2549472,90.5,9553.0416,91.44,224.33964540616427
260,0.344,30.446,0.896,639.177,Metal Loss,External,25.0,0.086,40.0,GENE,20.0,,,,3.0,EXT ML,7,N,N,5.97,198.541,02:00,16.336,CMFL,1025,65000,E.R. WELD,24,1341.6,1459.2,2026.7,1385.5,1924.3,1439.8,1999.8,0.703,1.087,1.0,1.2,2022,100,194.8211496,9.2799408,137.5,9553.0416,78.74,224.3719161620828
260,0.344,,,639.357,Attachment,,,,,,,,,,,ATTACHMENT,7,,,5.97,198.553,02:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,101,194.8760136,,150.0,9553.0416,,224.4419009339544
260,0.344,,,639.816,End Repair Marker,,,,,,,,,,,REPAIR MARKER 2021 DIG 1 RECOAT END,7,,,5.97,198.584,02:00,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,102,195.0159168,,,9553.0416,,224.62036210222703
270,0.5,,,644.836,Bend,,,,,,,,,,,BEND-HOT PULLED - 5.5D - 24° OVER,0,,,4.14,198.917,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,2022,104,196.5460128,,,2926.9944,,226.33481609746954
280,0.5,,,653.793,Bend,,,,,,,,,,,BEND-HOT PULLED - 5.9D - 18° LEFT,1,,,4.14,199.498,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,2022,106,199.2761064,,,2523.1344000000004,,228.92703114986114
280,0.5,7.444,0.837,657.119,Metal Loss,External,39.0,0.195,54.0,GENE,20.0,,,,3.1,EXT ML,1,N,N,4.14,199.719,UNKN,,CMFL,1025,60000,E.R. WELD,24,1800.0,1926.6,2675.9,1820.4,2528.3,1881.6,2613.4,0.532,1.071,1.0,1.2,2022,107,200.28987120000002,2.2689312,175.0,2523.1344000000004,93.98,229.69583237483397
290,0.344,0.381,14.646,658.333,Metal Loss,External,23.0,0.079,38.0,GENE,20.0,,,,5.2,EXT ML,4,N,N,5.97,199.799,10:32,10.263,CMFL,1025,65000,E.R. WELD,24,1341.6,1403.5,1949.4,1287.4,1788.1,1409.1,1957.0,0.73,1.046,1.0,1.2,2022,109,200.6598984,0.1161288,271.0,4579.924800000001,129.54,230.12305474059772
290,0.344,0.62,14.403,658.576,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,3.3,EXT ML ( NEAR SW ),4,N,N,5.97,199.815,10:32,1.676,CMFL,1025,65000,E.R. WELD,24,1341.6,1485.1,2062.6,1411.0,1959.7,1472.4,2045.0,0.69,1.105,1.0,1.2,2022,110,200.73396480000002,0.188976,307.5,4579.924800000001,86.36,230.2737216635825
290,0.344,13.081,1.942,671.037,Metal Loss,External,17.0,0.058,32.0,GENE,20.0,,,,8.1,EXT ML,4,N,N,5.97,200.687,10:32,36.652,CMFL,1025,65000,E.R. WELD,24,1341.6,1411.7,1960.6,1270.0,1763.9,1388.6,1928.7,0.726,1.05,1.0,1.2,2022,111,204.5320776,3.9870888,147.5,4579.924800000001,175.26,237.99989667310123
290,0.344,13.412,1.614,671.365,Metal Loss,External,26.0,0.089,41.0,GENE,20.0,,,,12.1,EXT ML,4,N,N,5.97,200.71,10:32,8.378,CMFL,1025,65000,E.R. WELD,24,1341.6,1289.5,1791.0,1126.3,1564.3,1318.6,1831.3,0.795,0.963,1.0,1.2,2022,112,204.63205200000002,4.0879776,268.0,4579.924800000001,259.08,238.20326601770617
310,0.344,0.512,8.261,681.726,Metal Loss,External,24.0,0.082,39.0,GENE,20.0,,,,3.3,EXT ML,1,N,N,5.97,201.41,10:00,30.578,CMFL,1025,65000,E.R. WELD,24,1341.6,1448.5,2011.7,1368.9,1901.3,1442.3,2003.2,0.708,1.081,1.0,1.2,2022,116,207.79008480000002,0.15605760000000002,95.0,2673.096,165.1,251.45632315239948
340,0.5,,,746.05,Bend,,,,,,,,,,,BEND-HOT PULLED - 5.8D - 28° LEFT,0,,,4.14,206.481,08:28,,CMFL,1025,60000,E.R. WELD,24,1800.0,,,,,,,,,,,2022,121,227.39604,,,3493.0080000000007,,289.2018068062827
360,0.344,,,772.854,Field Bend,,,,,,,,,,,BEND-COLD LEFT,0,,,5.97,208.709,10:36,,CMFL,1025,65000,E.R. WELD,24,1341.6,,,,,,,,,,,2022,124,235.56589920000002,,,9367.1136,,302.14418132335334
370,0.344,0.469,37.369,789.035,Metal Loss,Internal,12.0,0.041,27.0,GENE,20.0,,,,18.5,INT ML ( ON SW ),8,N,N,5.97,210.078,04:56,1.257,CMFL,1025,65000,E.R. WELD,24,1341.6,1424.5,1978.5,1255.4,1743.6,1408.8,1956.6,0.72,1.06,1.0,1.2,2022,126,240.497868,0.1429512,145.5,11533.0224,104.13999999999999,304.35588237266455
370,0.344,3.839,34.003,792.402,Metal Loss,Internal,14.0,0.048,29.0,GENE,20.0,,,,22.9,INT ML ( ON SW ),8,N,N,5.97,210.381,04:56,0.209,CMFL,1025,65000,E.R. WELD,24,1341.6,1390.8,1931.7,1223.0,1698.6,1426.6,1981.3,0.737,1.04,1.0,1.2,2022,127,241.52412960000004,1.1701272,140.5,11533.0224,106.67999999999999,305.44937534885446
